index,p0re,p0im,p1re,p1im
168,-0.13198,-0.19310,-0.09579,-0.35895
169,-0.16859,-0.14429,-0.10634,-0.38089
170,-0.20436,-0.09429,-0.11765,-0.40101
171,-0.23907,-0.04340,-0.12949,-0.41919
172,-0.27245,0.00822,-0.14174,-0.43513
173,-0.30438,0.06048,-0.15432,-0.44864
174,-0.33461,0.11329,-0.16703,-0.45955
175,-0.36294,0.16637,-0.17964,-0.46784
176,-0.38919,0.21956,-0.19217,-0.47333
177,-0.41313,0.27289,-0.20437,-0.47603
178,-0.43450,0.32611,-0.21622,-0.47580
179,-0.45334,0.37899,-0.22752,-0.47254
180,-0.46929,0.43161,-0.23815,-0.46640
181,-0.48231,0.48383,-0.24801,-0.45735
182,-0.49230,0.53528,-0.25696,-0.44552
183,-0.49906,0.58604,-0.26485,-0.43089
184,-0.50237,0.63595,-0.27170,-0.41360
185,-0.50221,0.68492,-0.27744,-0.39387
186,-0.49857,0.73282,-0.28204,-0.37186
187,-0.49128,0.77956,-0.28536,-0.34770
188,-0.48042,0.82512,-0.28742,-0.32157
189,-0.46588,0.86938,-0.28829,-0.29366
190,-0.44775,0.91225,-0.28802,-0.26425
191,-0.42601,0.95373,-0.28639,-0.23341
192,-0.40067,0.99362,-0.28357,-0.20158
193,-0.37183,1.03192,-0.27960,-0.16898
194,-0.33962,1.06849,-0.27464,-0.13577
195,-0.30411,1.10336,-0.26854,-0.10220
196,-0.26550,1.13639,-0.26159,-0.06863
197,-0.22378,1.16756,-0.25362,-0.03512
198,-0.17919,1.19685,-0.24494,-0.00209
199,-0.13201,1.22421,-0.23560,0.03039
200,-0.08230,1.24950,-0.22571,0.06208
201,-0.03031,1.27275,-0.21540,0.09280
202,0.02370,1.29386,-0.20458,0.12232
203,0.07949,1.31287,-0.19370,0.15048
204,0.13682,1.32966,-0.18268,0.17721
205,0.19544,1.34430,-0.17157,0.20234
206,0.25502,1.35657,-0.16057,0.22570
207,0.31539,1.36651,-0.14962,0.24729
208,0.37624,1.37418,-0.13909,0.26706
209,0.43728,1.37945,-0.12888,0.28499
210,0.49827,1.38225,-0.11907,0.30085
211,0.55888,1.38269,-0.10968,0.31495
212,0.61892,1.38080,-0.10073,0.32707
213,0.67799,1.37642,-0.09243,0.33727
214,0.73599,1.36958,-0.08466,0.34569
215,0.79263,1.36044,-0.07751,0.35233
216,0.84760,1.34884,-0.07085,0.35730
217,0.90071,1.33490,-0.06491,0.36076
218,0.95173,1.31861,-0.05945,0.36286
219,1.00060,1.30007,-0.05460,0.36362
220,1.04690,1.27931,-0.05014,0.36320
221,1.09063,1.25634,-0.04610,0.36176
222,1.13163,1.23126,-0.04237,0.35944
223,1.16987,1.20425,-0.03896,0.35640
224,1.20504,1.17523,-0.03578,0.35278
225,1.23720,1.14432,-0.03269,0.34886
226,1.26627,1.11164,-0.02966,0.34474
227,1.29220,1.07740,-0.02654,0.34056
228,1.31495,1.04150,-0.02320,0.33648
229,1.33449,1.00415,-0.01968,0.33277
230,1.35085,0.96550,-0.01585,0.32941
231,1.36417,0.92567,-0.01156,0.32670
232,1.37449,0.88474,-0.00687,0.32465
233,1.38164,0.84280,-0.00143,0.32351
234,1.38590,0.79994,0.00454,0.32333
235,1.38728,0.75647,0.01124,0.32419
236,1.38604,0.71248,0.01873,0.32632
237,1.38223,0.66790,0.02697,0.32973
238,1.37597,0.62299,0.03589,0.33451
239,1.36739,0.57785,0.04573,0.34075
240,1.35675,0.53252,0.05635,0.34837
241,1.34404,0.48727,0.06770,0.35748
242,1.32958,0.44220,0.07998,0.36811
243,1.31354,0.39735,0.09305,0.38020
244,1.29600,0.35272,0.10672,0.39382
245,1.27720,0.30856,0.12115,0.40883
246,1.25732,0.26493,0.13609,0.42538
247,1.23655,0.22200,0.15147,0.44327
248,1.21505,0.17977,0.16735,0.46238
249,1.19287,0.13842,0.18348,0.48274
250,1.17032,0.09792,0.19975,0.50411
251,1.14750,0.05835,0.21609,0.52649
252,1.12458,0.01985,0.23243,0.54966
253,1.10172,-0.01750,0.24862,0.57352
254,1.07892,-0.05360,0.26448,0.59800
255,1.05644,-0.08842,0.27992,0.62287
256,1.03430,-0.12190,0.29485,0.64799
257,1.01266,-0.15404,0.30907,0.67316
258,0.99183,-0.18464,0.32255,0.69829
259,0.97145,-0.21381,0.33509,0.72312
260,0.95191,-0.24135,0.34658,0.74751
261,0.93322,-0.26726,0.35693,0.77146
262,0.91532,-0.29158,0.36603,0.79446
263,0.89839,-0.31426,0.37384,0.81660
264,0.88240,-0.33524,0.38025,0.83759
265,0.86732,-0.35449,0.38514,0.85722
266,0.85323,-0.37185,0.38854,0.87541
267,0.84018,-0.38747,0.39034,0.89194
268,0.82819,-0.40142,0.39049,0.90677
269,0.81710,-0.41356,0.38908,0.91964
270,0.80701,-0.42391,0.38608,0.93047
271,0.79794,-0.43251,0.38135,0.93913
272,0.78978,-0.43937,0.37502,0.94546
273,0.78244,-0.44453,0.36700,0.94946
274,0.77605,-0.44798,0.35742,0.95098
275,0.77050,-0.44974,0.34626,0.94994
276,0.76575,-0.44988,0.33364,0.94634
277,0.76168,-0.44841,0.31953,0.93997
278,0.75828,-0.44541,0.30405,0.93092
279,0.75548,-0.44095,0.28719,0.91931
280,0.75333,-0.43501,0.26906,0.90492
281,0.75159,-0.42779,0.24968,0.88786
282,0.75031,-0.41930,0.22927,0.86804
283,0.74936,-0.40959,0.20782,0.84564
284,0.74869,-0.39884,0.18535,0.82070
285,0.74832,-0.38699,0.16206,0.79325
286,0.74818,-0.37423,0.13802,0.76341
287,0.74816,-0.36054,0.11315,0.73126
288,0.74817,-0.34600,0.08761,0.69695
289,0.74803,-0.33078,0.06154,0.66051
290,0.74790,-0.31493,0.03497,0.62226
291,0.74743,-0.29850,0.00799,0.58212
292,0.74675,-0.28159,-0.01932,0.54030
293,0.74568,-0.26426,-0.04705,0.49716
294,0.74424,-0.24649,-0.07487,0.45264
295,0.74228,-0.22845,-0.10287,0.40693
296,0.73972,-0.21019,-0.13099,0.36037
297,0.73666,-0.19172,-0.15912,0.31301
298,0.73293,-0.17309,-0.18726,0.26498
299,0.72834,-0.15438,-0.21531,0.21651
300,0.72290,-0.13562,-0.24325,0.16787
301,0.71662,-0.11682,-0.27092,0.11918
302,0.70933,-0.09818,-0.29841,0.07064
303,0.70112,-0.07952,-0.32544,0.02234
304,0.69185,-0.06102,-0.35217,-0.02560
305,0.68144,-0.04263,-0.37841,-0.07289
306,0.66988,-0.02435,-0.40422,-0.11945
307,0.65711,-0.00630,-0.42944,-0.16522
308,0.64310,0.01149,-0.45409,-0.21002
309,0.62790,0.02901,-0.47787,-0.25381
310,0.61148,0.04628,-0.50081,-0.29632
311,0.59377,0.06326,-0.52288,-0.33757
312,0.57466,0.07995,-0.54404,-0.37750
313,0.55434,0.09629,-0.56416,-0.41602
314,0.53262,0.11217,-0.58323,-0.45317
315,0.50952,0.12771,-0.60099,-0.48877
316,0.48514,0.14279,-0.61749,-0.52279
317,0.45940,0.15737,-0.63264,-0.55525
318,0.43234,0.17136,-0.64634,-0.58627
319,0.40394,0.18475,-0.65847,-0.61576
320,0.37432,0.19756,-0.66907,-0.64367
321,0.34341,0.20973,-0.67790,-0.67021
322,0.31128,0.22113,-0.68503,-0.69535
323,0.27786,0.23174,-0.69034,-0.71909
324,0.24321,0.24157,-0.69387,-0.74149
325,0.20756,0.25045,-0.69546,-0.76267
326,0.17083,0.25840,-0.69506,-0.78268
327,0.13309,0.26532,-0.69268,-0.80147
328,0.09434,0.27121,-0.68830,-0.81926
329,0.05475,0.27601,-0.68190,-0.83607
330,0.01421,0.27964,-0.67349,-0.85206
331,-0.02712,0.28215,-0.66313,-0.86717
332,-0.06913,0.28331,-0.65077,-0.88148
333,-0.11183,0.28324,-0.63643,-0.89504
334,-0.15506,0.28196,-0.62020,-0.90807
335,-0.19883,0.27942,-0.60215,-0.92056
336,-0.24302,0.27554,-0.58216,-0.93240
337,-0.28746,0.27027,-0.56057,-0.94388
338,-0.33218,0.26377,-0.53727,-0.95492
339,-0.37705,0.25589,-0.51240,-0.96569
340,-0.42200,0.24669,-0.48605,-0.97616
341,-0.46688,0.23625,-0.45833,-0.98626
342,-0.51167,0.22461,-0.42947,-0.99621
343,-0.55622,0.21170,-0.39944,-1.00598
344,-0.60047,0.19777,-0.36829,-1.01553
345,-0.64430,0.18273,-0.33623,-1.02489
346,-0.68756,0.16669,-0.30348,-1.03410
347,-0.73031,0.14982,-0.26992,-1.04312
348,-0.77223,0.13206,-0.23583,-1.05198
349,-0.81342,0.11359,-0.20121,-1.06078
350,-0.85370,0.09440,-0.16618,-1.06930
351,-0.89292,0.07473,-0.13087,-1.07764
352,-0.93105,0.05463,-0.09544,-1.08574
353,-0.96803,0.03420,-0.05988,-1.09359
354,-1.00364,0.01357,-0.02434,-1.10137
355,-1.03795,-0.00718,0.01109,-1.10883
356,-1.07066,-0.02794,0.04632,-1.11608
357,-1.10177,-0.04846,0.08127,-1.12298
358,-1.13123,-0.06881,0.11584,-1.12964
359,-1.15894,-0.08887,0.15004,-1.13602
360,-1.18488,-0.10842,0.18384,-1.14199
361,-1.20888,-0.12744,0.21721,-1.14758
362,-1.23092,-0.14583,0.25005,-1.15281
363,-1.25097,-0.16359,0.28235,-1.15760
364,-1.26885,-0.18063,0.31405,-1.16201
365,-1.28455,-0.19674,0.34514,-1.16597
366,-1.29800,-0.21193,0.37547,-1.16961
367,-1.30920,-0.22619,0.40513,-1.17266
368,-1.31808,-0.23944,0.43408,-1.17533
369,-1.32465,-0.25162,0.46237,-1.17749
370,-1.32885,-0.26268,0.48984,-1.17912
371,-1.33060,-0.27261,0.51650,-1.18021
372,-1.33013,-0.28147,0.54224,-1.18075
373,-1.32715,-0.28909,0.56711,-1.18079
374,-1.32175,-0.29568,0.59105,-1.18034
375,-1.31404,-0.30091,0.61411,-1.17935
376,-1.30399,-0.30515,0.63607,-1.17791
377,-1.29158,-0.30813,0.65703,-1.17585
378,-1.27700,-0.30998,0.67694,-1.17330
379,-1.26017,-0.31079,0.69576,-1.17026
380,-1.24109,-0.31043,0.71331,-1.16660
381,-1.21991,-0.30890,0.72969,-1.16245
