WN8 @ 23 dB baseSeed 10508 worker 0 burst 0 (channelSeed 10509) MFB-form receiver, window [-17,9)
b0 anatomy: mean|ring|^2=4.30E-002 anchors=65 a0:E=8.91E-002@pk0 a1:E=1.38E-001@pk0 a2:E=1.70E-001@pk0 a3:E=1.40E-001@pk-10 lock=//K@Hz
anchor-fit residual per block: b0:7.33E-005 b1:7.20E-005 b2:7.08E-005 b3:7.06E-005 b4:6.82E-005 b5:6.76E-005 b6:7.17E-005 b7:6.43E-005 b8:6.46E-005 b9:6.22E-005 b10:6.72E-005
R152 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R153 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R154 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R155 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R156 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R157 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R158 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R159 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R160 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R161 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R162 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R163 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R164 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R165 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R166 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R167 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R168 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R169 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R170 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R171 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R172 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R173 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R174 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R175 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R176 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R177 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
